Question;Reponse A;Reponse B;Reponse C;Bareme A;Bareme B;Bareme C
Tu te promenes dans la foret interdite du jardin des plantes, quand soudain un troll Maliksimus te barre le chemin, que fais-tu ?;Je rebrousse chemin et cours le plus vite possible;Je sors ma baguette magique et lance un sortilege doloris;Je prends le temps de reflechir pour lui tendre un piege;(-1, -2, 2, 4);(9, 7, 0, 0);(5, 0, 0, 4)
Une soiree est organisee dans la salle wherehouse du chateau mais tu ne connais personne, comment reagis-tu ?;J'essaye d'engager la conversation avec de nouvelles personnes;J'attends que quelqu'un vienne me parler;Je reste dans mon coin a lire un grimoire sur la dichotomie;(3, 3, 4, 6);(0, 0, 2, 6);(-1, -2, 0, 3)
Tu es en cours de SNI (Sortilege Nebuleux d'Illusion), et dois lancer un sort tres complexe : le sort de gloutoni, comment agis-tu ?;Je prends une decision sans trop reflechir;J'analyse la situation calmement avant de prendre une decision;Je consulte d'abord l'avis des autres avant de decider;(3, 3, 0, -1);(3, 3, 0, 6);(-1, -2, 5, 3)
On te propose de participer a un cours de quidditch, une activite toute nouvelle pour toi, que fais tu ?;Je refuse car je prefere rester dans ma zone de confort;J'hesite, mais apres reflexion j'accepte;J'accepte immediatement pour relever le defi;(-1, -2, 0, 2);(2, 2, 0, 0);(4, 4, 0, 0)
Comment reagis-tu face a une situation stressante ?;Je garde mon calme et trouve des solutions;Je deviens plus nerveux mais continue a agir;Je panique et j'ai du mal a prendre des decisions;(1, 3, 0, 6);(1, 2, 0, 1);(-1, -2, 0, -2)
Quel type d'art apprecies tu le plus ?;L'art abstrait et experimental ;La musique classique et les oeuvres traditionelles;Les expressions artistiques modernes et avant gardistes ;(3, 1, 1, 4);(4, 1, 2, 3);(2, 1, 0, 2)
En te baladant dans un biome prairie tu vois au loin une licorne, que fais tu ?;Je m'approche avec enthousiasme et affection;Je l'observe de loin sans m'impliquer;Je suis mal a l'aise et prefere eviter les animaux;(0, 2, 6, 0);(0, -1, 0, 3);(0, -1, 0, 2)
Sami et Scooby s'attaquent injustement a un jeune developpeur, comment reagis-tu ?;J'interviens immediatement pour corriger l'injustice ;J'en parle plus tard avec la personne concernee;J'ignore la situation pour eviter les conflits;(5, 4, 4, 2);(0, 1, 4, 3);(0, -1, -1, 1)
Comment organises-tu tes journees ?;J'etablis un planning detaille et suis un horaire strict;J'ai une liste generale de taches sans horaires precis;Je prends les choses au jour le jour sans planification ;(3, 0, 0, 6);(2, 0, 0, 2);(0, 0, 1, -1)
Un eleve de Serpentard te propose de faire un pique-nique dans la foret interdite. Comment reagis-tu ?;J'accepte pour lui faire plaisir;Je lui propose un autre endroit plus sur;Je fais semblant d'accepter mais j'envoie la police au lieu de rendez-vous;(2, 6, 7, -1);(0, 2, 4, 2);(7, 0, -2, 2)
Un inconnu sans nez te suit sur le trottoir depuis quelques minutes. Que fais-tu ?;Je me retourne et le salue amicalement;J'accelere le pas et tourne dans des rues sinueuses;Je le defie en duel pour montrer mes talents;(2, 6, 7, -2);(-1, -1, 0, 3);(8, 4, -1, -3)
Tu trouves la pierre philosophale dans le coffre de Dumbledore. Que fais-tu ?;Je la prends discretement, ca peut toujours servir;Je fais mine de ne pas la voir;Je la donne a quelqu'un qui en a besoin;(8, 2, -1, 0);(-1, 0, 1, 4);(0, 1, 8, 0)
On te propose de devenir directeur de ta maison. Comment reagis-tu ?;J'accepte pour ameliorer la situation a Poudlard que je trouve desastreuse;Je refuse, je ne veux pas de telles responsabilites;J'accepte pour me vanter aupres de mes camarades;(7, 0, 2, 6);(-1, 0, 5, 0);(8, 0, 0, -1)
Comment reagis-tu apres avoir echoue dans quelque chose d'important ?;Je cherche a prendre de l'experience et je cherche a m'ameliorer;Je me rejouis pour mes amis qui ont bien reussi;Je me sens decourage et j'ai du mal a m'en remettre;(4, 0, 1, 4);(-1, 0, 7, 1);(-1, -1, 0, 0)
Comment participes-tu aux activites de groupe ?;Je prends un role de leader et je contribue activement;Je contribue, mais uniquement pour faire plaisir a mes amis;J'evite les activites de groupe autant que possible;(4, 2, 0, 4);(0, 2, 7, 0);(-1, -1, 0, 0)
